timestamp,traffic_label,channel,frequency_mhz,bandwidth_mhz,tx_power_dbm,cwmin,cwmax,noise_floor_dbm,channel_busy_percent,nss,rts_cts,latency_min_ms,latency_avg_ms,latency_max_ms,clients,proto,streams,udp_rate,tcp_window,throughput_bps,loss_pct,jitter_ms,client_mac,tx_delta_bytes,estimated_throughput_bps
2025-07-29 14:06:55,TEST1_20250729_140655,44,5220,40,17,15,31,-92,0,1,on,14.427,50.275,86.065,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -42, 'tx_retries': 1, 'tx_failed': 1, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 2447, 'rx_bytes': 3113, 'mcs_index': 7}]",TCP,1,,1M,,0.0,,,,
2025-07-29 14:08:01,TEST2_20250729_140801,44,5220,40,17,15,31,-92,0,1,on,21.886,85.051,202.775,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -44, 'tx_retries': 257, 'tx_failed': 257, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 133839587, 'rx_bytes': 546054, 'mcs_index': 7}]",TCP,2,,,106671799.38095035,0.0,,b0:35:9f:ff:90:1f,133838275.0,107070620.0
2025-07-29 14:09:16,TEST3_20250729_140916,44,5220,40,17,15,31,-92,0,1,on,21.314,84.573,202.36,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -44, 'tx_retries': 773, 'tx_failed': 773, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 267050212, 'rx_bytes': 3576229, 'mcs_index': 7}]",TCP,16,,,107173431.790405,0.0,,b0:35:9f:ff:90:1f,267049785.0,213639828.0
2025-07-29 14:10:37,TEST1_20250729_141037,44,5220,20,10,15,31,-92,0,2,on,22.282,140.415,203.506,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -46, 'tx_retries': 969, 'tx_failed': 969, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 65878035, 'rx_bytes': 1291263, 'mcs_index': 7}]",TCP,8,,,53205422.253181614,0.0,,b0:35:9f:ff:90:1f,65877608.0,52702086.0
2025-07-29 14:11:52,TEST2_20250729_141152,44,5220,20,10,15,31,-92,0,2,on,21.337,84.546,202.418,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -43, 'tx_retries': 991, 'tx_failed': 991, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 78742638, 'rx_bytes': 1294050, 'mcs_index': 7}]",UDP,1,10M,,9999226.80634019,0.0,0.07203114362408701,b0:35:9f:ff:90:1f,78742211.0,62993768.0
2025-07-29 14:13:08,TEST3_20250729_141308,44,5220,20,10,15,31,-92,0,2,on,21.776,84.938,202.762,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -44, 'tx_retries': 1156, 'tx_failed': 1156, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 147601783, 'rx_bytes': 1591730, 'mcs_index': 7}]",TCP,1,,,54193485.4722449,0.0,,b0:35:9f:ff:90:1f,147601278.0,118081022.0
2025-07-29 14:14:29,TEST1_20250729_141429,44,5220,40,10,7,15,-92,0,1,on,11.987,102.465,192.876,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -46, 'tx_retries': 1617, 'tx_failed': 1617, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 133282988, 'rx_bytes': 1268542, 'mcs_index': 7}]",TCP,4,,,105725186.36196505,0.0,,b0:35:9f:ff:90:1f,133282561.0,106626048.0
2025-07-29 14:15:44,TEST2_20250729_141544,44,5220,40,10,7,15,-92,0,1,on,20.833,83.844,202.247,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -43, 'tx_retries': 2095, 'tx_failed': 2095, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 273305206, 'rx_bytes': 1271240, 'mcs_index': 7}]",UDP,1,200M,,108857463.22604051,0.036180605067412004,0.051348663317346006,b0:35:9f:ff:90:1f,273304779.0,218643823.0
2025-07-29 14:16:59,TEST3_20250729_141659,44,5220,40,10,7,15,-92,0,1,on,21.796,84.978,202.956,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -48, 'tx_retries': 2692, 'tx_failed': 2692, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 401923423, 'rx_bytes': 1274081, 'mcs_index': 7}]",UDP,1,100M,,99991149.66903257,0.006950960970354,0.137786888737119,b0:35:9f:ff:90:1f,401922996.0,321538396.0
2025-07-29 14:18:20,TEST1_20250729_141820,44,5220,20,10,63,127,-92,0,1,on,72.869,108.552,144.252,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -43, 'tx_retries': 1301, 'tx_failed': 1301, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 66980167, 'rx_bytes': 5087, 'mcs_index': 7}]",UDP,1,200M,,52069663.44269246,0.028921023359288003,0.50829562162495,b0:35:9f:ff:90:1f,66979740.0,53583792.0
2025-07-29 14:19:35,TEST2_20250729_141935,44,5220,20,10,63,127,-92,0,1,on,17.045,80.144,198.089,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -45, 'tx_retries': 1620, 'tx_failed': 1620, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 131290994, 'rx_bytes': 7777, 'mcs_index': 7}]",UDP,1,50M,,49996134.03170094,0.0,0.293239549086922,b0:35:9f:ff:90:1f,131290567.0,105032453.0
2025-07-29 14:20:51,TEST3_20250729_142051,44,5220,20,10,63,127,-92,0,1,on,21.401,84.444,202.657,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -42, 'tx_retries': 1875, 'tx_failed': 1875, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 197758101, 'rx_bytes': 1293767, 'mcs_index': 7}]",TCP,8,,,54623275.92146435,0.0,,b0:35:9f:ff:90:1f,197757674.0,158206139.0
2025-07-29 14:22:12,TEST1_20250729_142212,44,5220,40,23,7,15,-92,0,2,off,0.905,12.026,45.151,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -44, 'tx_retries': 1, 'tx_failed': 1, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 12, 'tx_bytes': 2844, 'rx_bytes': 4513, 'mcs_index': 7}]",TCP,1,,4M,,0.0,,b0:35:9f:ff:90:1f,1478.0,1182.0
2025-07-29 14:23:17,TEST2_20250729_142317,44,5220,40,23,7,15,-92,0,2,off,6.7940000000000005,22.074,63.663,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -44, 'tx_retries': 476, 'tx_failed': 476, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 12, 'tx_bytes': 139063510, 'rx_bytes': 7802, 'mcs_index': 7}]",UDP,1,400M,,108109131.92694458,0.0,0.14098678326788,b0:35:9f:ff:90:1f,139063377.0,111250701.0
2025-07-29 14:24:32,TEST3_20250729_142432,44,5220,40,23,7,15,-92,0,2,off,47.756,81.913,117.248,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -45, 'tx_retries': 662, 'tx_failed': 662, 'tx_bitrate_mbps': 81, 'rx_bitrate_mbps': 6, 'tx_bytes': 271687318, 'rx_bytes': 622388, 'mcs_index': 4}]",TCP,2,,,105274124.83415458,0.0,,b0:35:9f:ff:90:1f,271686891.0,217349512.0
2025-07-29 14:25:53,TEST1_20250729_142553,40,5200,20,10,7,15,-92,0,2,off,,,,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -47, 'tx_retries': 145, 'tx_failed': 145, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 12865295, 'rx_bytes': 4668, 'mcs_index': 7}]",UDP,1,10M,,9999231.805915095,0.0,0.06422158629715001,b0:35:9f:ff:90:1f,12864868.0,10291894.0
2025-07-29 14:27:08,TEST2_20250729_142708,40,5200,20,10,7,15,-92,0,2,off,22.68,22.68,22.68,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -52, 'tx_retries': 211, 'tx_failed': 212, 'tx_bitrate_mbps': 6, 'rx_bitrate_mbps': 6, 'tx_bytes': 82668001, 'rx_bytes': 1668811, 'mcs_index': None}]",TCP,16,,,58249375.10824857,0.0,,b0:35:9f:ff:90:1f,82667672.0,66134137.0
2025-07-29 14:28:24,TEST3_20250729_142824,40,5200,20,10,7,15,-92,0,2,off,36.683,72.249,107.871,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -47, 'tx_retries': 7, 'tx_failed': 7, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 70365936, 'rx_bytes': 497552, 'mcs_index': 7}]",TCP,2,,,56804806.89126146,0.0,,b0:35:9f:ff:90:1f,70365509.0,56292407.0
2025-07-29 14:29:45,TEST1_20250729_142945,44,5220,20,17,63,127,-92,0,2,on,64.856,120.536,181.213,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -47, 'tx_retries': 97, 'tx_failed': 97, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 67801807, 'rx_bytes': 1340707, 'mcs_index': 7}]",TCP,8,,,55718304.51838035,0.0,,b0:35:9f:ff:90:1f,67801380.0,54241104.0
2025-07-29 14:31:00,TEST2_20250729_143100,44,5220,20,17,63,127,-92,0,2,on,21.325,84.457,202.993,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -63, 'tx_retries': 165, 'tx_failed': 165, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 144.4, 'tx_bytes': 135328466, 'rx_bytes': 2944436, 'mcs_index': 7}]",TCP,16,,,54991958.8117725,0.0,,b0:35:9f:ff:90:1f,135328039.0,108262431.0
2025-07-29 14:32:15,TEST3_20250729_143215,44,5220,20,17,63,127,-92,0,2,on,82.184,118.157,154.098,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -47, 'tx_retries': 168, 'tx_failed': 168, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 141762643, 'rx_bytes': 2947707, 'mcs_index': 7}]",UDP,1,5M,,4999615.902957547,0.0,0.05944913152124501,b0:35:9f:ff:90:1f,141762216.0,113409772.0
2025-07-29 14:33:37,TEST1_20250729_143337,40,5200,40,23,63,127,-92,0,1,on,99.447,135.782,171.866,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -47, 'tx_retries': 526, 'tx_failed': 526, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 140610622, 'rx_bytes': 579405, 'mcs_index': 7}]",TCP,2,,,111958827.82169989,0.0,,,,
2025-07-29 14:34:53,TEST2_20250729_143453,40,5200,40,23,63,127,-92,0,1,on,22.264,85.471,203.184,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -45, 'tx_retries': 526, 'tx_failed': 526, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 140612245, 'rx_bytes': 581417, 'mcs_index': 7}]",TCP,1,,4M,,0.0,,b0:35:9f:ff:90:1f,140611818.0,112489454.0
2025-07-29 14:35:58,TEST3_20250729_143558,40,5200,40,23,63,127,-92,0,1,on,20.955,58.564,99.478,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -63, 'tx_retries': 526, 'tx_failed': 526, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 279836149, 'rx_bytes': 2759390, 'mcs_index': 7}]",TCP,8,,,111743424.54600161,0.0,,b0:35:9f:ff:90:1f,279835722.0,223868577.0
2025-07-29 14:37:19,TEST1_20250729_143719,44,5220,20,23,7,15,-92,0,1,off,110.548,150.154,193.119,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -46, 'tx_retries': 128, 'tx_failed': 128, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 64312533, 'rx_bytes': 5686, 'mcs_index': 7}]",UDP,1,50M,,49996144.03084775,0.0,0.20757768273481303,b0:35:9f:ff:90:1f,64311903.0,51449522.0
2025-07-29 14:38:34,TEST2_20250729_143834,44,5220,20,23,7,15,-92,0,1,off,21.823,84.938,202.743,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -49, 'tx_retries': 260, 'tx_failed': 260, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 131751655, 'rx_bytes': 1336023, 'mcs_index': 7}]",TCP,8,,,55593104.4627435,0.0,,b0:35:9f:ff:90:1f,131750822.0,105400657.0
2025-07-29 14:39:50,TEST3_20250729_143950,44,5220,20,23,7,15,-92,0,1,off,18.049,81.307,199.243,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -48, 'tx_retries': 326, 'tx_failed': 326, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 202486337, 'rx_bytes': 1339270, 'mcs_index': 7}]",UDP,1,100M,,54989971.97922137,0.0,0.34660572073480805,b0:35:9f:ff:90:1f,202485707.0,161988565.0
2025-07-29 14:41:11,TEST1_20250729_144111,44,5220,40,23,7,15,-92,0,1,off,1.051,1.109,1.2429999999999999,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -49, 'tx_retries': 0, 'tx_failed': 0, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 12, 'tx_bytes': 2283, 'rx_bytes': 2741, 'mcs_index': 7}]",TCP,1,,4M,,0.0,,b0:35:9f:ff:90:1f,2052.0,1641.0
2025-07-29 14:42:16,TEST2_20250729_144216,44,5220,40,23,63,127,-92,0,1,off,16.52,52.031,87.66,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -46, 'tx_retries': 215, 'tx_failed': 215, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 134247434, 'rx_bytes': 3047673, 'mcs_index': 7}]",TCP,16,,,108890327.00122577,0.0,,b0:35:9f:ff:90:1f,134246804.0,107397443.0
